St Nom la Bretêche	L'Etang la Ville	Marly le Roi	Louveciennes	Bougival	La Celle St Cloud	Vaucresson	Garches	St Cloud	Le Val d'Or	Suresnes	Puteaux	La Défense	Courbevoie	Bécon les Bruyères	Paris Saint-Lazare
11:24	11:30	11:33	11:35	11:38	11:40	11:43	11:46	-----	-----	-----	-----	-----	-----	-----	-----	
11:37	-----	-----	11:46	-----	-----	-----	11:51	11:54	11:58	12:00	12:02	12:05	12:08	12:10	12:13	
11:39	11:45	11:48	11:50	11:53	11:55	11:58	12:01	-----	-----	-----	-----	-----	-----	-----	-----	
11:54	12:00	12:03	12:05	12:08	12:10	12:13	12:16	-----	-----	-----	-----	-----	-----	-----	-----	
12:07	-----	-----	12:16	-----	-----	-----	12:21	12:24	12:28	12:30	12:32	12:35	12:38	12:40	12:43	
12:09	12:15	12:18	12:20	12:23	12:25	12:28	12:31	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	12:30	12:32	12:35	12:37	12:39	-----	-----	-----	-----	-----	-----	-----	-----	
12:24	12:30	12:33	12:35	12:38	12:40	12:43	12:46	-----	-----	-----	-----	-----	-----	-----	-----	
12:37	-----	-----	12:46	-----	-----	-----	12:51	12:54	12:58	13:00	13:02	13:05	13:08	13:10	13:13	
12:39	12:45	12:48	12:50	12:53	12:55	12:58	13:01	-----	-----	-----	-----	-----	-----	-----	-----	
12:54	13:00	13:03	13:05	13:08	13:10	13:13	13:16	-----	-----	-----	-----	-----	-----	-----	-----	
13:07	-----	-----	13:16	-----	-----	-----	13:21	13:24	13:28	13:30	13:32	13:35	13:38	13:40	13:43	
13:09	13:15	13:18	13:20	13:23	13:25	13:28	13:31	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	13:30	13:32	13:35	13:37	13:39	-----	-----	-----	-----	-----	-----	-----	-----	
13:24	13:30	13:33	13:35	13:38	13:40	13:43	13:46	-----	-----	-----	-----	-----	-----	-----	-----	
13:37	-----	-----	13:46	-----	-----	-----	13:51	13:54	13:58	14:00	14:02	14:05	14:08	14:10	14:13	
13:39	13:45	13:48	13:50	13:53	13:55	13:58	14:01	-----	-----	-----	-----	-----	-----	-----	-----	
13:54	14:00	14:03	14:05	14:08	14:10	14:13	14:16	-----	-----	-----	-----	-----	-----	-----	-----	
14:07	-----	-----	14:16	-----	-----	-----	14:21	14:24	14:28	14:30	14:32	14:35	14:38	14:40	14:43	
14:09	14:15	14:18	14:20	14:23	14:25	14:28	14:31	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	14:30	14:32	14:35	14:37	14:39	-----	-----	-----	-----	-----	-----	-----	-----	
14:24	14:30	14:33	14:35	14:38	14:40	14:43	14:46	-----	-----	-----	-----	-----	-----	-----	-----	
14:37	-----	-----	14:46	-----	-----	-----	14:51	14:54	14:58	15:00	15:02	15:05	15:08	15:10	15:13	
14:39	14:45	14:48	14:50	14:53	14:55	14:58	15:01	-----	-----	-----	-----	-----	-----	-----	-----	
14:54	15:00	15:03	15:05	15:08	15:10	15:13	15:16	-----	-----	-----	-----	-----	-----	-----	-----	
15:07	-----	-----	15:16	-----	-----	-----	15:21	15:24	15:28	15:30	15:32	15:35	15:38	15:40	15:43	
15:09	15:15	15:18	15:20	15:23	15:25	15:28	15:31	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	15:30	15:32	15:35	15:37	15:39	-----	-----	-----	-----	-----	-----	-----	-----	
15:24	15:30	15:33	15:35	15:38	15:40	15:43	15:46	-----	-----	-----	-----	-----	-----	-----	-----	
15:37	-----	-----	15:46	-----	-----	-----	15:51	15:54	15:58	16:00	16:02	16:05	16:08	16:10	16:13	
15:39	15:45	15:48	15:50	15:53	15:55	15:58	16:01	-----	-----	-----	-----	-----	-----	-----	-----	
15:50	15:56	16:00	16:02	16:04	16:07	16:10	16:12	-----	-----	-----	-----	-----	-----	-----	-----	
16:03	-----	-----	16:12	-----	-----	-----	16:17	16:22	16:25	16:27	16:30	16:32	16:36	16:38	16:41	
16:05	16:11	16:15	16:17	16:19	16:22	16:25	16:27	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	16:29	16:31	16:34	16:36	16:38	-----	-----	-----	-----	-----	-----	-----	-----	
16:20	16:26	16:30	16:32	16:34	16:37	16:40	16:42	-----	-----	-----	-----	-----	-----	-----	-----	
16:33	-----	-----	16:42	-----	-----	-----	16:47	16:52	16:55	16:57	17:00	17:02	17:06	17:08	17:11	
16:35	16:41	16:45	16:47	16:49	16:52	16:55	16:57	-----	-----	-----	-----	-----	-----	-----	-----	
16:50	16:56	17:00	17:02	17:04	17:07	17:10	17:12	-----	-----	-----	-----	-----	-----	-----	-----	
17:03	-----	-----	17:12	-----	-----	-----	17:17	17:22	17:25	17:27	17:30	17:32	17:36	17:38	17:41	
17:05	17:11	17:15	17:17	17:19	17:22	17:25	17:27	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	17:29	17:31	17:34	17:36	17:38	-----	-----	-----	-----	-----	-----	-----	-----	
17:20	17:26	17:30	17:32	17:34	17:37	17:40	17:42	-----	-----	-----	-----	-----	-----	-----	-----	
17:33	-----	-----	17:42	-----	-----	-----	17:48	17:52	17:56	17:58	18:00	18:03	18:06	18:09	18:11	
17:35	17:41	17:45	17:47	17:49	17:52	17:55	17:57	-----	-----	-----	-----	-----	-----	-----	-----	
17:50	17:56	18:00	18:02	18:04	18:07	18:10	18:12	-----	-----	-----	-----	-----	-----	-----	-----	
18:03	-----	-----	18:12	-----	-----	-----	18:17	18:22	18:25	18:27	18:30	18:32	18:36	18:38	18:41	
18:05	18:12	18:15	18:17	18:19	18:22	18:25	18:27	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	18:29	18:31	18:34	18:36	18:38	-----	-----	-----	-----	-----	-----	-----	-----	
18:20	18:26	18:30	18:32	18:34	18:37	18:40	18:42	-----	-----	-----	-----	-----	-----	-----	-----	
18:33	-----	-----	18:42	-----	-----	-----	18:47	18:52	18:55	18:57	19:00	19:02	19:06	19:08	19:11	
18:35	18:41	18:45	18:47	18:49	00:00	18:55	18:57	-----	-----	-----	-----	-----	-----	-----	-----	
18:50	18:56	19:00	19:02	19:04	19:07	19:10	19:12	-----	-----	-----	-----	-----	-----	-----	-----	
19:03	-----	-----	19:12	-----	-----	-----	19:17	19:22	19:25	19:27	19:30	19:32	19:36	19:38	19:41	
19:05	19:11	19:15	19:17	19:19	19:22	19:25	19:27	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	19:29	19:31	19:34	19:36	19:38	-----	-----	-----	-----	-----	-----	-----	-----	
19:20	19:26	19:30	19:32	19:34	19:37	19:40	19:42	-----	-----	-----	-----	-----	-----	-----	-----	
19:33	-----	-----	19:42	-----	-----	-----	19:47	19:52	19:55	19:57	20:00	20:02	20:06	20:08	20:11	
19:35	19:41	19:45	19:47	19:49	19:52	19:55	19:57	-----	-----	-----	-----	-----	-----	-----	-----	
19:50	19:56	20:00	20:02	20:04	20:07	20:10	20:12	-----	-----	-----	-----	-----	-----	-----	-----	
20:03	-----	-----	20:12	-----	-----	-----	20:17	20:22	20:25	20:27	20:29	20:32	20:35	23:37	20:40	
20:05	20:11	20:15	20:17	20:19	20:22	20:25	20:27	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	20:29	20:31	20:34	20:36	20:38	-----	-----	-----	-----	-----	-----	-----	-----	
20:20	20:26	20:30	20:32	20:34	20:37	20:40	20:42	-----	-----	-----	-----	-----	-----	-----	-----	
20:30	-----	-----	20:39	-----	-----	-----	20:44	20:49	20:52	20:54	20:56	20:59	21:02	21:04	21:07	
20:35	20:41	20:45	20:47	20:49	20:52	20:55	20:57	-----	-----	-----	-----	-----	-----	-----	-----	
20:48	-----	-----	20:57	-----	-----	-----	21:02	21:07	21:10	21:12	21:14	21:17	21:20	21:22	21:25	
20:55	21:01	21:04	21:06	21:08	21:11	21:13	21:15	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	21:17	21:19	21:22	21:24	21:26	-----	-----	-----	-----	-----	-----	-----	-----	
21:10	21:16	21:19	21:21	21:23	21:26	21:28	21:30	21:33	21:37	21:39	21:41	21:43	21:46	21:49	21:51	
21:25	21:31	21:34	21:36	21:38	21:41	21:43	21:45	-----	-----	-----	-----	-----	-----	-----	-----	
21:40	21:46	21:49	21:51	21:53	21:56	21:58	22:00	22:03	22:07	22:09	22:11	22:13	22:16	22:19	22:21	
21:55	22:01	22:04	22:06	22:08	22:11	22:13	22:15	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	22:17	22:19	22:22	22:24	22:26	-----	-----	-----	-----	-----	-----	-----	-----	
22:10	22:16	22:19	22:21	22:23	22:26	22:28	22:30	22:33	22:37	22:39	22:41	22:43	22:46	22:49	22:51	
22:25	22:31	22:34	22:36	22:38	22:41	22:43	22:45	-----	-----	-----	-----	-----	-----	-----	-----	
22:40	22:46	22:49	22:51	22:53	22:56	22:58	23:00	23:03	23:07	23:09	23:11	23:13	23:16	23:19	23:21	
22:55	23:01	23:04	23:06	23:08	23:11	23:13	23:15	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	23:17	23:19	23:22	23:24	23:26	-----	-----	-----	-----	-----	-----	-----	-----	
23:10	23:16	23:19	23:21	23:23	23:26	23:28	23:30	23:33	23:37	23:39	23:41	23:43	23:46	23:48	23:51	
23:25	23:31	23:34	23:36	23:38	23:41	23:43	23:45	-----	-----	-----	-----	-----	-----	-----	-----	
23:40	23:46	23:49	23:51	23:53	23:56	23:58	00:00	00:03	00:07	00:09	00:11	00:13	00:16	00:18	00:21	
23:55	00:01	00:04	00:06	00:08	00:11	00:13	00:15	-----	-----	-----	-----	-----	-----	-----	-----	
-----	-----	-----	00:17	00:19	00:22	00:24	00:26	-----	-----	-----	-----	-----	-----	-----	-----	
00:10	00:16	00:19	00:21	00:23	00:26	00:28	00:30	00:33	00:37	00:39	00:41	00:43	00:46	00:48	00:51	
00:25	00:31	00:34	00:36	00:38	00:41	00:43	00:45	-----	-----	-----	-----	-----	-----	-----	-----	
00:47	00:53	00:56	00:58	01:00	01:03	01:05	01:07	01:10	01:14	01:16	01:18	01:20	01:23	01:25	01:28	
01:08	01:17	01:20	01:22	01:24	01:29	01:29	01:32	-----	-----	-----	-----	-----	-----	-----	-----
